Date, Open, High, Low, Close, Volume
04/06/21, 126.50, 127.13, 125.65, 126.21, 80171250
04/05/21, 123.87, 126.1601, 123.07, 125.90, 88651188
04/01/21, 123.66, 124.18, 122.49, 123.00, 75089125
03/31/21, 121.65, 123.52, 121.15, 122.15, 118323797
03/30/21, 120.11, 120.4031, 118.86, 119.90, 85671922
03/29/21, 121.65, 122.58, 120.7299, 121.39, 80819203
03/26/21, 120.35, 121.48, 118.92, 121.21, 94071234
03/25/21, 119.54, 121.66, 119.00, 120.59, 98844680
03/24/21, 122.82, 122.90, 120.065, 120.09, 88530484
03/23/21, 123.33, 124.24, 122.14, 122.54, 95467133
03/22/21, 120.33, 123.87, 120.26, 123.39, 111912305
03/19/21, 119.90, 121.43, 119.675, 119.99, 185549500
03/18/21, 122.88, 123.18, 120.32, 120.53, 121469797
03/17/21, 124.05, 125.8599, 122.336, 124.76, 111932602
03/16/21, 125.70, 127.22, 124.715, 125.57, 115227906
03/15/21, 121.41, 124.00, 120.42, 123.99, 92590562
03/12/21, 120.40, 121.17, 119.16, 121.03, 88105047
03/11/21, 122.54, 123.21, 121.26, 121.96, 103026492
03/10/21, 121.69, 122.17, 119.45, 119.98, 111943297
03/09/21, 119.03, 122.06, 118.79, 121.085, 129525797
03/08/21, 120.93, 121.00, 116.21, 116.36, 154376609
03/05/21, 120.98, 121.935, 117.57, 121.42, 153766594
03/04/21, 121.75, 123.60, 118.62, 120.13, 178155016
03/03/21, 124.81, 125.71, 121.84, 122.06, 112966305
03/02/21, 128.41, 128.72, 125.01, 125.12, 102260898
03/01/21, 123.75, 127.93, 122.79, 127.79, 116307906
02/26/21, 122.59, 124.85, 121.20, 121.26, 164560406
02/25/21, 124.68, 126.4585, 120.54, 120.99, 148199500
02/24/21, 124.94, 125.56, 122.23, 125.35, 111039906
02/23/21, 123.76, 126.71, 118.39, 125.86, 158272984
02/22/21, 128.01, 129.72, 125.60, 126.00, 103916398
02/19/21, 130.24, 130.71, 128.80, 129.87, 87668828
02/18/21, 129.20, 129.995, 127.41, 129.71, 96856750
02/17/21, 131.25, 132.22, 129.47, 130.84, 98085250
02/16/21, 135.49, 136.01, 132.79, 133.19, 80576320
02/12/21, 134.35, 135.53, 133.6921, 135.37, 60145129
02/11/21, 135.90, 136.39, 133.77, 135.13, 64280031
02/10/21, 136.48, 136.99, 134.40, 135.39, 73046562
02/09/21, 136.62, 137.877, 135.85, 136.01, 76774211
02/08/21, 136.03, 136.96, 134.92, 136.91, 71297211
02/05/21, 137.35, 137.42, 135.86, 136.76, 75693828
02/04/21, 136.30, 137.40, 134.59, 137.39, 84183055
02/03/21, 135.76, 135.77, 133.61, 133.94, 89880945
02/02/21, 135.73, 136.31, 134.61, 134.99, 83305367
02/01/21, 133.75, 135.38, 130.93, 134.14, 106239797
01/29/21, 135.83, 136.74, 130.21, 131.96, 177523812
01/28/21, 139.52, 141.99, 136.70, 137.09, 142621109
01/27/21, 143.43, 144.30, 140.41, 142.06, 140843812
01/26/21, 143.60, 144.30, 141.37, 143.16, 98390562
01/25/21, 143.07, 145.09, 136.54, 142.92, 157611703
01/22/21, 136.28, 139.85, 135.02, 139.07, 114459398
01/21/21, 133.80, 139.67, 133.59, 136.87, 120529508
01/20/21, 128.66, 132.49, 128.55, 132.03, 104319508
01/19/21, 127.78, 128.71, 126.938, 127.83, 90757328
01/15/21, 128.78, 130.2242, 127.00, 127.14, 111598492
01/14/21, 130.80, 131.00, 128.76, 128.91, 90221758
01/13/21, 128.76, 131.45, 128.49, 130.89, 88636828
01/12/21, 128.50, 129.69, 126.86, 128.80, 91951148
01/11/21, 129.19, 130.17, 128.50, 128.98, 100620898
01/08/21, 132.43, 132.63, 130.23, 132.05, 105158203
01/07/21, 128.36, 131.63, 127.86, 130.92, 109578203
01/06/21, 127.72, 131.0499, 126.382, 126.60, 155088000
01/05/21, 128.89, 131.74, 128.43, 131.01, 97664898
01/04/21, 133.52, 133.6116, 126.76, 129.41, 143301906
12/31/20, 134.08, 134.74, 131.72, 132.69, 99116594
12/30/20, 135.58, 135.99, 133.40, 133.72, 96452117
12/29/20, 138.05, 138.789, 134.3409, 134.87, 121047297
12/28/20, 133.99, 137.34, 133.51, 136.69, 124486203
12/24/20, 131.32, 133.46, 131.10, 131.97, 54930059
12/23/20, 132.16, 132.43, 130.78, 130.96, 88223688
12/22/20, 131.61, 134.405, 129.65, 131.88, 169351812
12/21/20, 125.02, 128.31, 123.449, 128.23, 121251602
12/18/20, 128.96, 129.10, 126.12, 126.655, 192541500
